アンゴラ,ルアンダ,13 ,-8 
イタリア,パレルモ,13 ,38 
ドイツ,ベルリン,13 ,52 
アンゴラ,ベンゲラ,13 ,-12 
ドイツ,ドレスデン,13 ,51 
リビア,ムルスク,14 ,26 
スウェーデン,イェンチェピング,14 ,57 
イタリア,ナポリ,14 ,41 
チェコ,プラハ,14 ,50 
スロベニア,リュブリャナ,14 ,46 
スウェーデン,エスタースンド,14 ,63 
チャド,ンジャメナ,15 ,12 
スウェーデン,ボールレンゲ,15 ,60 
アンゴラ,オンジバ,15 ,-17 
クロアチア,ザグレブ,16 ,45 
オーストリア,ウィーン,16 ,48 
ナミビア,オラニエムント,16 ,-28 
イタリア,カタンザーロ,16 ,39 
ナミビア,ウィントフック,17 ,-22 
ノルウェー,ナルビク,17 ,68 
スウェーデン,ストックホルム,18 ,59 
ザイール,ムバンダカ,18 ,0 
ボスニア・ヘルツェゴビナ,サラエボ,18 ,44 
中央アフリカ共和国,バンギ,18 ,4 
南アフリカ共和国,ケープタウン,18 ,-34 
ハンガリー,ブダペスト,19 ,47 
アルバニア,ティラナ,20 ,41 
アンゴラ,ルエナ,20 ,-11 
ユーゴスラビア,ベオグラード,20 ,44 
チャド,ウニアンガ・ケビール,20 ,19 
リトアニア,クライペダ,21 ,55 
マケドニア,スコピエ,21 ,42 
ボツワナ,チャボング,22 ,-26 
ギリシャ,テッサロニキ,23 ,40 
ブルガリア,ソフィア,23 ,42 
ボツワナ,マウン,23 ,-20 
ザイール,ムブジ・マイ,23 ,-6 
ベラルーシ,ブレスト,23 ,52 
ギリシャ,アテネ,23 ,38 
フィンランド,タンペレ,23 ,61 
ウクライナ,リボフ,24 ,50 
ラトビア,リガ,24 ,57 
エストニア,タリン,24 ,59 
スーダン,ニヤラ,25 ,12 
フィンランド,ヘルシンキ,25 ,60 
ギリシャ,イラクリオン,25 ,35 
ザイール,キサンガニ,25 ,0 
リトアニア,ビリニュス,25 ,54 
フィンランド,オウル,25 ,65 
南アフリカ共和国,ポート・エリザベス,25 ,-34 
ウクライナ,チェルノフツィ,26 ,48 
ルーマニア,ブカレスト,26 ,44 
南アフリカ共和国,ブルームフォンテーン,26 ,-29 
エストニア,タルトゥ,26 ,58 
トルコ,イズミル,27 ,38 
ザイール,ルブンバシ,27 ,-11 
ベラルーシ,ミンスク,27 ,54 
南アフリカ共和国,イースト・ロンドン,28 ,-33 
南アフリカ共和国,ヨハネスバーグ,28 ,-26 
ザンビア,ルサカ,28 ,-15 
ジンバブエ,ブラワヨ,28 ,-20 
モルドヴァ,キシニョフ,29 ,47 
トルコ,イスタンブール,29 ,41 
ブルンジ,ブジュンブラ,29 ,-3 
エジプト,アレクサンドリア,30 ,31 
ロシア,サンクトペテルブルク,30 ,60 
ウクライナ,キエフ,30 ,50 
トルコ,アンタリヤ,30 ,37 
ウクライナ,オデッサ,30 ,46 
南アフリカ共和国,ダーバン,31 ,-30 
ジンバブエ,ハラーレ,31 ,-18 
エジプト,カイロ,31 ,30 
ロシア,スモレンスク,32 ,54 
スーダン,オムデュルマン,32 ,15 
ウガンダ,カンパラ,32 ,0 
モザンビーク,マプート,32 ,-26 
トルコ,アンカラ,33 ,40 
エジプト,アスワン,33 ,24 
キプロス,リマソル,33 ,34 
ロシア,ムルマンスク,33 ,69 
タンザニア,ムベヤ,33 ,-9 
マラウイ,リロングウェ,33 ,-14 
ウクライナ,シンフェロポリ,34 ,45 
ロシア,ペトロザボーツク,34 ,61 
モザンビーク,ベイラ,35 ,-20 
ウクライナ,ドニエプロペテロフスク,35 ,48 
イスラエル,エルサレム,35 ,31 
トルコ,カイセリ,35 ,38 
ロシア,カリーニン,36 ,57 
ロシア,クルスク,36 ,51 
ウクライナ,ハリコフ,36 ,50 
シリア,ダマスカス,36 ,33 
トルコ,サムスン,36 ,41 
ケニア,ナイロビ,37 ,-1 
シリア,アレッポ,37 ,36 
ロシア,トゥーラ,37 ,54 
ロシア,モスクワ,37 ,55 
ウクライナ,ドネツク,37 ,48 
エチオピア,アディス・アベバ,38 ,9 
ロシア,クラスノダール,39 ,45 
サウジアラビア,ジェッダ,39 ,21 
モザンビーク,ナムプラ,39 ,-15 
タンザニア,ダル・エス・サラーム,39 ,-6 
サウジアラビア,メディナ,39 ,24 
ケニア,モンバサ,39 ,-4 
ロシア,ロストフ・ナ・ドヌー,39 ,47 
ロシア,ボログダ,40 ,59 
トルコ,ディヤルバクル,40 ,38 
ロシア,アルハンゲリスク,40 ,64 
ロシア,スタブロポリ,42 ,45 
イラク,モスル,43 ,36 
ジブチ,ジブチ,43 ,11 
マダガスカル,トリアラ,43 ,-23 
イエメン,サヌア,44 ,15 
イラク,バグダッド,44 ,33 
ロシア,ヴォルゴグラード,44 ,48 
アルメニア,エレバン,44 ,40 
グルジア,トビリシ,44 ,41 
ソマリア,モガディシュ,45 ,2 
イラン,タブリーズ,46 ,38 
サウジアラビア,リヤド,46 ,24 
イラン,バフタラン,47 ,34 
マダガスカル,アンタナナリボ,47 ,-19 
イラク,バスラ,48 ,30 
クウェート,クウェート,48 ,29 
ロシア,アストラハン,48 ,46 
イラン,アフバーズ,48 ,31 
ソマリア,ガルド,49 ,9 
ロシア,カザン,49 ,55 
ロシア,キーロフ,49 ,58 
アゼルバイジャン,バクー,49 ,40 
ロシア,サマーラ,50 ,53 
バーレイン,バーレイン,50 ,26 
イラン,テヘラン,51 ,35 
カタール,ドーハ,51 ,25 
イラン,エスファハーン,51 ,32 
カザフスタン,グリエフ,52 ,47 
イラン,シーラーズ,52 ,29 
イラン,ヤズド,54 ,32 
ロシア,オレンブルグ,55 ,51 
アラブ首長国連邦,ドバイ,55 ,25 
セイシェル,ビクトリア,55 ,-4 
ロシア,ウファ,56 ,54 
ロシア,ペルミ,56 ,58 
イラン,ケルマーン,57 ,30 
モーリシャス,ポート・ルイス,57 ,-20 
トルクメニスタン,アシガバード,58 ,38 
イラン,マシュハド,59 ,36 
ウズベキスタン,ヌクス,59 ,42 
イラン,ザーヘダーン,61 ,29 
ロシア,チェリャビンスク,61 ,55 
アフガニスタン,ヘラート,62 ,34 
ウズベキスタン,ブハラ,64 ,39 
カザフスタン,クジル・オルダ,65 ,45 
アフガニスタン,マザーレ・シャリフ,67 ,36 
カザフスタン,ジャスカズガン,67 ,47 
アフガニスタン,カブール,69 ,34 
ウズベキスタン,タシケント,69 ,41 
アフガニスタン,ファイザバード,70 ,37 
インド,ラージコト,70 ,22 
カザフスタン,ジャンブル,71 ,43 
インド,アーメダバード,72 ,23 
キルギス,オシ,72 ,40 
インド,ボンベイ,72 ,19 
インド,スーラト,72 ,21 
インド,ジョドプル,73 ,26 
カザフスタン,カラガンダ,73 ,50 
ロシア,オムスク,73 ,55 
ロシア,スルグート,73 ,61 
キルギス,ビシュケク,74 ,43 
インド,スリナガル,74 ,34 
インド,フブリ,75 ,15 
インド,オーランガーバード,75 ,20 
インド,ジャイプル,75 ,27 
インド,コータ,76 ,25 
インド,ルディアーナ,76 ,31 
カザフスタン,アルマティ,77 ,43 
インド,トリバンドラム,77 ,8 
カザフスタン,パブロダール,77 ,52 
インド,デリー,77 ,28 
インド,ボパール,77 ,23 
インド,バンガロール,77 ,13 
カザフスタン,タルディ・クルガン,78 ,45 
インド,ハイデラバード,78 ,17 
インド,ナーグプル,79 ,21 
スリランカ,コロンボ,80 ,7 
インド,ジャバルプル,80 ,23 
インド,マドラス,80 ,13 
インド,ラクノウ,81 ,27 
カザフスタン,ウスチ・カメノゴルスク,82 ,50 
ロシア,ノヴォシビールスク,83 ,55 
インド,ワーラーナシ,83 ,25 
インド,ビシャカパトナム,83 ,17 
ロシア,バルナウル,83 ,53 
ロシア,トムスク,85 ,56 
インド,パトナ,85 ,25 
ネパール,カトマンズ,85 ,27 
インド,ラーンチ,85 ,23 
インド,イングリッシュ・バザール,88 ,25 
